branch,radius_mm,gate_mm,reachable_voxel_coverage,reachable_patient_mean,reachable_patient_median,reachable_patient_iqr25,reachable_patient_iqr75,reachable_eligible_cases,overall_voxel_coverage,overall_patient_mean,overall_patient_median,overall_patient_iqr25,overall_patient_iqr75,overall_error_cases
pos,4.0,37.0,0.6397706523649087,0.5723102882639826,0.5940035758492642,0.3883358856559469,0.7731079404466501,97,0.6412933489365177,0.5676346136760725,0.5942601369141653,0.39304055614317845,0.7753837719243685,99
pos,4.0,38.0,0.6496998820919886,0.5824693310831299,0.6077568422500343,0.3993698802772527,0.7818134535367545,97,0.6509397784710693,0.5773928924863018,0.5997773890920655,0.4030441234256772,0.7825755340353855,99
pos,4.0,39.0,0.6596507579982632,0.5925495917264715,0.6195846513546968,0.4057971014492754,0.7890950069348127,97,0.6606072376673404,0.5870782847191656,0.6231515344251868,0.41263077251887315,0.7935148156592764,99
pos,4.0,40.0,0.6693367865355673,0.6024353178542693,0.6423452768729642,0.4161280846063455,0.8003521901826987,97,0.6700173927672808,0.5965773868640986,0.635498776841533,0.42171411490724026,0.8034948120308552,99
pos,4.0,41.0,0.6802986663407007,0.6140019630930258,0.6569804748372903,0.42665350444225075,0.811879652605459,97,0.6806670608697373,0.6076964628231267,0.6459635770589834,0.43296225236145186,0.8132789905862017,99
pos,4.0,42.0,0.6904519976876787,0.6246369823565915,0.6652305435878633,0.4383078730904818,0.8239764267990074,97,0.6905312092550304,0.6179188849167577,0.6537102473498233,0.44349691670908464,0.8232248120477224,99
pos,4.0,43.0,0.6998158801463791,0.6345290383195299,0.67366394719956,0.4482277121374866,0.8352977667493796,97,0.6996283935070301,0.6274274212818336,0.6648545800489264,0.4532870255978922,0.8375451221876529,99
pos,4.0,44.0,0.7087748517236725,0.6440501128437264,0.6800806673388945,0.4563552833078101,0.8497208436724566,97,0.7083321993809857,0.6365788779817544,0.6724653438434357,0.46212716937282394,0.8512873974930278,99
pos,4.0,45.0,0.7176625182400892,0.6534754333998566,0.6878723989366579,0.4674454232094983,0.8600278551532033,97,0.71696673107516,0.6456391722589564,0.6846229187071499,0.47358257876853005,0.8633290769678315,99
pos,4.0,46.0,0.7275981144904616,0.6639622150900826,0.7040486835568803,0.4857142857142857,0.8680981595092024,97,0.7266193458043351,0.6557237136199247,0.701133909287257,0.48690066719483904,0.8713217953013919,99
pos,4.0,47.0,0.7367226156733617,0.6736351975715051,0.7194485842026825,0.49892588614393124,0.8763957816377171,97,0.7354839667384974,0.6650235515949154,0.7171770503343893,0.5022445887732905,0.8783955176470204,99
pos,4.0,48.0,0.7453123288996865,0.6827845361592978,0.73050173869846,0.5122448979591837,0.8809815950920246,97,0.7438290313242997,0.6738205153726383,0.7343290891283056,0.5175584556689163,0.8841837708664355,99
pos,4.0,49.0,0.7536613875455525,0.6918554978009911,0.7445700951355232,0.5250127616130679,0.8898684042417273,97,0.7519402955533399,0.6825418749877675,0.7455925563173359,0.5311545179987218,0.8908197354130442,99
pos,4.0,50.0,0.7618856623348842,0.7008786702805333,0.7538499751614506,0.5382384532760472,0.8973325062034739,97,0.7599303299677628,0.6912192940419535,0.7525792711784193,0.5423352424437371,0.8973184961069851,99
pos,4.0,inf,1.0,1.0,1.0,1.0,1.0,97,0.9912627940750783,0.9797979797979798,1.0,1.0,1.0,99
pos,6.0,0.0,0.0,0.0,0.0,0.0,0.0,97,0.043116991719261435,0.04139441597199671,0.03879014043012865,0.027484591855147067,0.054029589493241284,99
pos,6.0,1.0,0.0003874937374749499,0.00033836112033952385,0.0,0.0,0.0,97,0.04348439227988748,0.04170651698270631,0.03879014043012865,0.027484591855147067,0.054029589493241284,99
